Task,Model,DataFraction,Test_MSE,Test_MAE
taskA,MLP,25%,33.70897674560547,4.525713920593262
taskA,MLP,50%,24.13629722595215,3.535484552383423
taskA,MLP,100%,5.1107048988342285,1.5983330011367798
taskA,CNN,25%,32.55947494506836,4.687957286834717
taskA,CNN,50%,28.57156753540039,4.393182277679443
taskA,CNN,100%,9.153236389160156,2.2766339778900146
taskB,MLP,25%,7.0954813957214355,1.7458593845367432
taskB,MLP,50%,4.161251068115234,1.105393648147583
taskB,MLP,100%,0.006820235401391983,0.04562847688794136
taskB,CNN,25%,4.460799217224121,1.5159425735473633
taskB,CNN,50%,3.2554616928100586,1.3859338760375977
taskB,CNN,100%,0.7412509322166443,0.6848950386047363
taskC,MLP,25%,22.047239303588867,3.298581123352051
taskC,MLP,50%,15.633332252502441,2.3517005443573
taskC,MLP,100%,0.2394934892654419,0.2820793688297272
taskC,CNN,25%,14.755419731140137,3.0025548934936523
taskC,CNN,50%,10.365801811218262,2.5875043869018555
taskC,CNN,100%,6.639496326446533,1.9688351154327393
taskD,MLP,25%,2.3465280532836914,1.0825221538543701
taskD,MLP,50%,0.7455792427062988,0.49438709020614624
taskD,MLP,100%,0.015912363305687904,0.08614494651556015
taskD,CNN,25%,0.2720901072025299,0.4052763283252716
taskD,CNN,50%,0.09691936522722244,0.22189278900623322
taskD,CNN,100%,0.02345305122435093,0.1124223917722702
taskE,MLP,25%,2.554051637649536,1.2901726961135864
taskE,MLP,50%,1.760844111442566,0.9321547746658325
taskE,MLP,100%,0.20560793578624725,0.3589561879634857
taskE,CNN,25%,2.008690357208252,1.0924071073532104
taskE,CNN,50%,1.0637290477752686,0.7581694722175598
taskE,CNN,100%,0.43692225217819214,0.5103511810302734
